Author,Commit,Message,Date,,
M. Rozzaq Yusaliano,9210083,Pembuatan Layout Tagihan (Placeholder),2019‑04‑11,,
M. Rozzaq Yusaliano,3545daf,Pembuatan Layout peminjaman,2019‑04‑11,,
M. Rozzaq Yusaliano,d568dfe,Fix feedback layout dan set toolbar,2019‑04‑11,,
Zenitho Madyagantang,c551204,layout pengembalian barang,2019‑04‑09,,
Rizky Rahmat Hakiki,3cdbfbd,Merge branch 'master' of https://bitbucket.org/rpl2019/minjemin-app into rizkyrhakiki,2019‑04‑09,,
Rizky Rahmat Hakiki,faa7210,Ref #24 menambahkan models untuk fungsi chat,2019‑04‑09,,
Ryan Risbaya,23243be,Ref #23 Back end halaman feedback view,2019‑04‑09,,
firdha utami,8e24bfc,ref #22 membuat tampilan daftar chat,2019‑04‑09,,
danti puji yuherisna,b202597,Ref #21 Layout feedback and rating,2019‑04‑09,,
Alif Jafar,10044d2,Ref #20 Create ViewModel Pengembalian Barang,2019‑04‑09,,
Alif Jafar,78a4705,Resolve #8 Register,2019‑04‑04,,
Rizky Rahmat Hakiki,c9ce6a4,fix fungsi dan layout,2019‑04‑02,,
Alif Jafar,2a387b3,Merged from danti,2019‑04‑02,,
Danti Puji Yuherisna,e6793db,Resolve #18 Back-end Filtering / Searching Data,2019‑04‑02,,
Rizky Rahmat Hakiki,2cd951a,penambahan fungsi checkout,2019‑04‑02,,
Alif Jafar,70a0835,Searchview,2019‑04‑02,,
Rizky Rahmat Hakiki,111a8e0,Merged in rizkyrhakiki (pull request #9) Backend (date picker) Chekout Approved-by: Alif Jafar alifjafar@gmail.com,2019‑04‑02,,
Rizky Rahmat Hakiki,9efcb1a,Merged in rizkyrhakiki (pull request #9) Backend (date picker) Chekout Approved-by: Alif Jafar alifjafar@gmail.com,2019‑04‑02,,
firdha utami,d276f56,Merged in firdha (pull request #8) Ref #10 Layout filtering/Searching barang Approved-by: Alif Jafar alifjafar@gmail.com,2019‑04‑02,,
Rizky Rahmat Hakiki,4d1569f,fix layout checkout,2019‑04‑02,,
Alif Jafar,f628b53,Set Transaksi,2019‑04‑02,,
Alif Jafar,ae63bbb,Ref #9 Backend Detail Item,2019‑04‑02,,
Alif Jafar,c72b772,Merged from Rizky,2019‑04‑02,,
Alif Jafar,e8014f2,Merge remote-tracking branch 'origin/master',2019‑04‑02,,
Alif Jafar,7e149d5,Ref #9 Fix Layout Detail Item,2019‑04‑02,,
Rizky Rahmat Hakiki,ad323ee,ref #14 perbaikan nav tab checkout,2019‑04‑01,,
firdha utami,fb804ce,Merged in firdha (pull request #6) layout filtering dan searching barang,2019‑04‑01,,
Alif Jafar,2f1ac58,Merge from zenitho,2019‑04‑01,,
Alif Jafar,1f117cc,Merge from Ryan,2019‑04‑01,,
firdha utami,75ae120,Ref 10 layout filtering/searching,2019‑04‑01,,
danti puji yuherisna,3c6616d,Merged in dantipuji (pull request #3) Ref #11 Fragment Transaksi Approved-by: Alif Jafar alifjafar@gmail.com,2019‑04‑01,,
Zenitho Madyagantang,c332380,Ref #14 Meneruskan layout checkout,2019‑04‑01,,
firdha utami,0e39df1,Merge branch 'master' of https://bitbucket.org/rpl2019/minjemin-app into firdha,2019‑04‑01,,
Ryan Risbaya,3059733,Ref #11 Tampilan item barang tagihan,2019‑04‑01,,
danti puji yuherisna,839d33a,Ref #11 Fragment Transaksi,2019‑04‑01,,
Ryan Risbaya,ea7a6a0,Merge branch 'master' of https://bitbucket.org/rpl2019/minjemin-app into ariefryan,2019‑04‑01,,
Rizky Rahmat Hakiki,d877a9b,New Branch Rizky,2019‑04‑01,,
Alif Jafar,84017a1,Merge branch 'zenithomh' of bitbucket.org:rpl2019/minjemin-app into alifjafar,2019‑04‑01,,
Zenitho Madyagantang,3c6a02b,memperbaiki resource file error,2019‑04‑01,,
Ryan Risbaya,b80d56e,Merge branch 'master' of https://bitbucket.org/rpl2019/minjemin-app into ariefryan,2019‑04‑01,,
danti puji yuherisna,bbe5cb5,Merged in dantipuji (pull request #2) Merge Layout Transaksi Peminjaman Approved-by: Alif Jafar alifjafar@gmail.com,2019‑04‑01,,
danti puji yuherisna,6ec635b,Merge branch 'master' of https://bitbucket.org/rpl2019/minjemin-app into dantipuji,2019‑04‑01,,
danti puji yuherisna,6b7e2ed,Ref #11 Layout Transaksi Peminjaman & ViewPager,2019‑04‑01,,
Alif Jafar,1d03594,Merged in alifjafar (pull request #1) Merge branch alifjafar to master Approved-by: Alif Jafar alifjafar@gmail.com,2019‑04‑01,,
Ryan Risbaya,827b9e6,branch ryan,2019‑04‑01,,
firdha utami,99a8992,Branch baru firdha,2019‑04‑01,,
danti puji yuherisna,62f90b6,Branch baru punya Danti,2019‑04‑01,,
Alif Jafar,3ed71c9,Merge branch 'master' of bitbucket.org:rpl2019/minjemin-app into alifjafar Conflicts: app/src/main/AndroidManifest.xml,2019‑04‑01,,
Rizky Rahmat Hakiki,8c491bc,Ref #14 Menambah fragment pembayaran,2019‑03‑26,,
Alif Jafar,9053f20,Ref #9 Request Api Single Item (Peminjaman barang),2019‑03‑26,,
Ryan Risbaya,7b2b3d4,Merge branch 'master' of https://bitbucket.org/rpl2019/minjemin-app,2019‑03‑26,,
Ryan Risbaya,9229f4f,Ref #11 Merapihkan layout halaman transaksi peminjaman,2019‑03‑26,,
Zenitho Madyagantang,dea811c,Ref #16 layout checkout,2019‑03‑26,,
firdha utami,1790070,Ref #10 Layout filtering/searching,2019‑03‑26,,
danti puji yuherisna,1bbb82e,Ref #11 Merapihkan front end halaman transaksi tagihan,2019‑03‑25,,
Rizky Rahmat Hakiki,955d897,Ref #14 Fragment Detail Peminjaman,2019‑03‑19,,
Rizky Rahmat Hakiki,fe207f0,Ref #14 Fragment Detail Peminjaman,2019‑03‑19,,
danti puji yuherisna,9a5b857,Progress tampilan transaksi Peminjaman,2019‑03‑19,,
Rizky Rahmat Hakiki,57a1140,Ref #14 Add navigation tab for chekcout + perbaiki error gradle dan manifest,2019‑03‑19,,
Ryan Risbaya,2932d9f,Progress tampilan transaction,2019‑03‑19,,
Ryan Risbaya,011b738,Progress tampilan transaction,2019‑03‑19,,
Zenitho Madyagantang,a39d13a,checkout git commit -m checkout ',2019‑03‑19,,
firdha utami,80842d0,Merge remote-tracking branch 'origin/master',2019‑03‑19,,
firdha utami,52c0020,create filter/search button,2019‑03‑19,,
Alif Jafar,81ec764,Ref #9 Detail Item Peminjaman Layout,2019‑03‑19,,
Alif Jafar,49fbe1e,Fix getItemCount BaseRecycleAdapter,2019‑03‑19,,
Alif Jafar,1e67b8c,Merge branch 'master' of https://bitbucket.org/rpl2019/minjemin-app,2019‑03‑19,,
Alif Jafar,e51c8b2,Fix Validation Register,2019‑03‑19,,
Rizky Rahmat Hakiki,2607ad9,Ref #1 Tambah Notifikasi,2019‑03‑19,,
Ryan Risbaya,e940b7e,Resolve #6 Update Home,2019‑03‑18,,
Rizky Rahmat Hakiki,05bcd9f,Merge branch 'master' of bitbucket.org:rpl2019/minjemin-app,2019‑03‑18,,
Rizky Rahmat Hakiki,7d6bbcb,Ref #1 Update Profile & Update Foto Profil,2019‑03‑18,,
Rizky Rahmat Hakiki,6714a40,Ref #1 Tambah Verifikasi akun,2019‑03‑18,,
Alif Jafar,ce31808,Profile Update,2019‑03‑18,,
Zenitho Madyagantang,f55daa8,Ref #6 Mengambil Data dari Api untuk home,2019‑03‑18,,
Alif Jafar,93ca8a4,Resolve #2 CRUD Barang Done,2019‑03‑17,,
Alif Jafar,b54e719,Fix Change Password,2019‑03‑17,,
Alif Jafar,98e19c0,Merge to Maste,2019‑03‑15,,
Alif Jafar,d748623,Ref #2 Read Published & Draft Item,2019‑03‑14,,
Alif Jafar,f1a5add,Ref #2 Success Add Item/Barang,2019‑03‑12,,
Alif Jafar,8b80c44,Ref #2 Upload Image Item,2019‑03‑10,,
Rizky Rahmat Hakiki,123d9df,Ref #1 Add some feature for kelola profile: edit profile change password  change address,2019‑03‑10,,
Alif Jafar,e35dfa6,Add Glide Image Processing,2019‑03‑09,,
Alif Jafar,9e4dd72,Update Avatar Profile,2019‑03‑09,,
Alif Jafar,91e3713,Ref #2 Request Category,2019‑03‑08,,
Alif Jafar,acc303c,Ref #2 Add BottomSheet for Category (Create Item),2019‑03‑08,,
Alif Jafar,9d43674,Migrate ForgotPassword & SplashScreen AndroidX,2019‑03‑08,,
Alif Jafar,8ef78c8,Major Update Migrate to AndroidX (Pattern MVVM),2019‑03‑07,,
Zenitho Madyagantang,3a69638,Merge branch 'master' of https://bitbucket.org/rpl2019/minjemin-app,2019‑03‑04,,
Zenitho Madyagantang,047d3d8,Ref #6 update tampilan utama,2019‑03‑04,,
Ryan Risbaya,4114489,Merge branch 'master' of https://bitbucket.org/rpl2019/minjemin-app,2019‑03‑03,,
Alif Jafar,6156148,Ref #2 Create Item / Barang,2019‑03‑03,,
Ryan Risbaya,dd5dba6,Ref #5 menambahkan fungsi backend home,2019‑03‑03,,
Alif Jafar,65f9541,Ref #2 Create Item / Barang,2019‑03‑03,,
Rizky Rahmat Hakiki,4dd890a,Ref#1 Update kelola profile,2019‑03‑03,,
danti puji yuherisna,119d15f,Layout Kelola Profile,2019‑02‑28,,
Ryan Risbaya,f2df59f,Ref #5 salah ref  maksudnya 5 bukan 3,2019‑02‑25,,
Ryan Risbaya,6bc389d,Ref #3 Lupa membuat Issues,2019‑02‑25,,
Alif Jafar,53becee,Add .idea/misc.xml to gitignore,2019‑02‑25,,
Alif Jafar,20ab879,Add .idea/misc.xml to gitignore,2019‑02‑25,,
Alif Jafar,4924ebb,Add .idea/misc.xml to gitignore,2019‑02‑25,,
Alif Jafar,b8957b4,Add .idea/misc.xml to gitignore,2019‑02‑25,,
Alif Jafar,c6392eb,Merge branch 'master' of bitbucket.org:rpl2019/minjemin-app Conflicts: .idea/misc.xml,2019‑02‑25,,
Alif Jafar,71d647b,Ref #2 Layout Vendor (CRUD),2019‑02‑25,,
Ryan Risbaya,7a46000,Layout Home,2019‑02‑25,,
Ryan Risbaya,40bc0d2,Tampilan layout home,2019‑02‑25,,
danti puji yuherisna,29443fd,Merge branch 'master' of https://bitbucket.org/rpl2019/minjemin-app Conflicts: .idea/misc.xml,2019‑02‑25,,
danti puji yuherisna,28bc0fd,Gambaran Layout Kelola Profile,2019‑02‑25,,
Alif Jafar,5788b72,Update Minor Intent to Forget Password,2019‑02‑25,,
firdha utami,aebecda,Resolve #3 Forgot Password,2019‑02‑25,,
Rizky Rahmat Hakiki,2.91E+20,sebagian layout tampilan utama,2019‑02‑22,,
Rizky Rahmat Hakiki,61f4c22,Perapihan minor layout login register splash  dan lupa password  dan lupa password,2019‑02‑20,,
Alif Jafar,564f525,Login via Google,2019‑02‑19,,
Alif Jafar,3278966,Merge remote-tracking branch 'origin/master' Conflicts: .idea/misc.xml app/src/main/java/com/minjemin/app/Activity/LoginActivity.java app/src/main/java/com/minjemin/app/Activity/SplashActivity.java,2019‑02‑19,,
Alif Jafar,816fd96,Login via Google,2019‑02‑19,,
Zenitho Madyagantang,254e9ef,Layout lupa password,2019‑02‑18,,
Rizky Rahmat Hakiki,79aa266,Redesign login done register still progress,2019‑02‑13,,
Alif Jafar,cccd2fd,Remove Minjemin.zip,2019‑02‑13,,
Alif Jafar,79db77c,Old App,2019‑02‑13,,
Alif Jafar,bdaa670,Old App,2019‑02‑13,,
